question,document,score,reasoning
What condition does the item need to be in to qualify for a return?,vxC9JJ39,good,"The AI answer correctly captures the key condition for returns: the item must be in original condition and packaging. It omits the 30-day timeframe and mention of the Returns page, but the question specifically asks about the item condition, so the core answer is semantically equivalent."
Where can I find the instructions for making a return?,vxC9JJ39,good,"The AI answer correctly points the user to the Returns page, which matches the ground truth's instruction for where to find return instructions. It omits the extra policy details, but those were not required to answer the question."
Do you accept returns after 30 days from the date of purchase?,vxC9JJ39,bad,The AI answer does not answer the question or convey the return policy. The ground truth states returns are allowed within 30 days of purchase under certain conditions. Saying 'I don’t know' misses the key information and is not semantically equivalent.
Can I still cancel my order before it ships?,SrEfuZvN,good,The AI answer preserves the key condition that cancellation is possible only before shipment and correctly instructs the customer to contact support with order details. It is semantically equivalent to the ground truth.
How do I cancel an order I just placed?,SrEfuZvN,good,"The AI answer preserves the key conditions and instructions: cancellation is possible only before shipment, and the customer should contact support with order details for assistance. This is semantically equivalent to the ground truth."
Who should I contact to cancel my order?,SrEfuZvN,good,"The AI answer includes the key instruction to contact customer support with order details, which matches the ground truth. However, it omits the important condition that cancellation is only possible if the order has not been shipped yet. Since the question is about who to contact, the core contact information is correct, but the answer is incomplete relative to the original."
What order details do you need for a cancellation request?,SrEfuZvN,good,"The AI answer includes the key required information: contact customer support with your order details. The ground truth also mentions that cancellation is only possible if the order has not been shipped yet, but the question asks what order details are needed, so omitting that condition does not change the core answer. Semantically equivalent enough."
Is it too late to cancel if my order has already shipped?,SrEfuZvN,bad,"The AI answer fails to convey the FAQ information. The ground truth says cancellation is possible only if the order has not yet shipped and instructs the customer to contact support with order details. Saying ""I don’t know"" is non-informative and misses the key point."
How many days does standard shipping usually take?,NDmNmTdj,good,"The AI answer correctly states the standard shipping timeframe as 3-5 business days, which matches the ground truth. It omits the express shipping detail, but that is not required for equivalence to the specific question asked."
What’s the delivery time for express shipping?,NDmNmTdj,good,"The AI answer matches the ground truth’s key point about express shipping time being 1–2 business days. It omits the general note that shipping times vary by destination and method, but that is not necessary to answer the question asked."
Does shipping speed change based on where it’s going?,NDmNmTdj,good,"The AI answer captures the core point that shipping speed varies by destination and shipping method, matching the ground truth. However, it omits the specific example times for standard and express shipping. Since the question only asks whether shipping speed changes based on destination, this omission does not change the essential meaning."
How long should I expect my order to take if I pick standard delivery?,NDmNmTdj,good,"The AI answer matches the ground truth for standard shipping time: 3–5 business days. It omits express shipping, but that is not needed to answer the question asked."
Is express shipping really 1-2 business days?,NDmNmTdj,good,"The AI answer matches the ground truth on the key point: express shipping can take 1-2 business days. It omits the note that shipping times vary by destination and method, but does not contradict the original answer and preserves the core information asked about."
"Do you ship outside the country, and if so, which countries do you deliver to?",OQ1RUfJr,good,The AI answer matches the ground truth in meaning: it confirms international shipping to select countries and states that destination availability and shipping costs are calculated during checkout based on location. No key information is missing or incorrect.
How can I check whether international shipping is available for my address?,OQ1RUfJr,good,"The AI answer preserves the key point: international shipping availability is determined during checkout based on the customer's location, and shipping costs are calculated there as well. It adds an extra support option, which does not contradict the ground truth. It does not mention that shipping is only to select countries, but the core answer about checking availability during checkout is conveyed correctly."
Will the shipping fee be shown before I place an order if I'm overseas?,OQ1RUfJr,bad,"The ground truth says international shipping is available to select countries and that shipping costs are calculated during checkout based on location, meaning the fee will be shown before order completion. The AI answer 'I don't know' fails to convey this and is incorrect/incomplete."
Does checkout calculate international delivery costs automatically based on where I live?,OQ1RUfJr,good,"The AI answer preserves the key point: international shipping availability and costs are determined automatically during checkout based on the customer's location. This is semantically equivalent to the original answer, though it omits the mention that shipping is only to select countries. That omission does not change the core answer to the question."
Are there any limits on which locations you can ship to internationally?,OQ1RUfJr,bad,"The ground truth says international shipping is available to select countries and that availability/costs are calculated at checkout. The AI answer does not convey this information and instead says it does not know, which is incorrect and misses the key point."
What do I need to do if my package gets lost in transit?,T7oEJmKa,good,The AI answer preserves the full meaning of the original: it instructs the customer to contact support immediately and says support will investigate and resolve the issue. This is semantically equivalent to the ground truth.
Who should I contact if my order arrives damaged?,T7oEJmKa,good,"The AI answer conveys the key instruction from the ground truth: contact customer support immediately. It omits the details about damaged/lost in transit and that support will investigate and resolve the issue, but it does not contradict or miss the core response to who to contact."
"If a package goes missing or is damaged, how do I report it?",T7oEJmKa,good,"The AI answer preserves the core meaning of the original: contact customer support immediately, and they will begin an investigation and resolve the issue. It is semantically equivalent."
What happens if my shipment is lost or damaged during delivery?,T7oEJmKa,good,"The AI answer preserves the core meaning of the ground truth: contact customer support immediately, and they will investigate and resolve the issue. The added mention of return, replacement, or repair is extra detail and does not contradict the original."
Do I need to reach out to support right away if my package is damaged?,T7oEJmKa,good,"The AI answer matches the ground truth on the key point: if a package is lost or damaged during transit, the customer should contact support immediately. It omits the part about initiating an investigation and resolving the issue, but that does not change the core answer."
How can I update my shipping address after I’ve already placed an order?,GGIkGgdn,good,The AI answer preserves the key instructions: contact customer support as soon as possible and the address can be updated if the order has not yet shipped. This is semantically equivalent to the ground truth.
Is it still possible to change the delivery address once my order is in?,GGIkGgdn,good,"The AI answer conveys the same core information as the ground truth: contact customer support as soon as possible, and the address can be updated only if the order has not been shipped yet, with no guarantee. This is semantically equivalent."
What should I do if I entered the wrong shipping address on my order?,GGIkGgdn,good,The AI answer matches the ground truth: it instructs the customer to contact support immediately and notes the address can likely be updated if the order has not yet shipped. No key information is missing or incorrect.
Can customer support help me change my address before my package ships?,GGIkGgdn,good,"The AI answer preserves the key message from the ground truth: contact customer support as soon as possible, and they can try to update the shipping address only if the order has not shipped yet. This is semantically equivalent."
Will my shipping address be updated if I contact you soon after ordering?,GGIkGgdn,good,The AI answer matches the ground truth: it says to contact customer support as soon as possible and that the address can be updated if the order has not shipped yet. This preserves the key condition and outcome.
What’s the best way to get in touch with customer support if I have an issue?,MQAE6dna,good,"The AI answer preserves the key information from the ground truth: contact support by phone or email, and availability during working hours. It omits the explicit mention of assisting with inquiries or issues, but that is implied and not necessary for equivalence."
Do you have a phone number or email I can use to contact support?,MQAE6dna,good,"The AI answer conveys the same core information as the ground truth: support can be contacted by phone or email, using the same placeholders. It omits the working hours, but that is extra detail rather than a required key point for this question."
When is your customer service team available to help with questions?,MQAE6dna,good,"The AI answer preserves the key information that support is available during the stated working hours and that they help with inquiries/issues. It omits the phone and email contact methods, but the question asks about availability, so this is semantically aligned with the ground truth."
How can I reach support if I need help with an order or other problem?,MQAE6dna,good,"The AI answer preserves the key information from the ground truth: support can be reached by phone or email, and they are available during the stated working hours to help with orders or other issues. This is semantically equivalent."
Is there a way to contact your support team outside of working hours?,MQAE6dna,bad,"The ground truth says support can be contacted by phone or email during specified working hours. The AI answer does not provide this information and instead says it doesn't know, so it misses the key point."
"Do you provide gift wrapping for orders, and is there an extra charge?",nVIMH2Hu,good,"The AI answer matches the ground truth: it confirms gift wrapping is available, notes there is an additional fee, and says the option can be selected during checkout. No key information is missing or incorrect."
Can I add gift wrapping when I check out?,nVIMH2Hu,good,"The AI answer matches the ground truth: it confirms gift wrapping is available, notes there is an additional fee, and states it can be added during checkout. No key information is missing or incorrect."
Is gift wrapping available if I want to send something as a present?,nVIMH2Hu,good,The AI answer matches the ground truth: gift wrapping is available for an additional fee and can be selected during checkout. No key information is missing or incorrect.
How do I choose the gift wrap option during checkout?,nVIMH2Hu,good,The AI answer conveys the same information as the ground truth: gift wrapping is available for an additional fee and can be selected during checkout. It is semantically equivalent.
Does your store charge a fee for gift wrapping my order?,nVIMH2Hu,good,The AI answer matches the ground truth: it says gift wrapping is available for an additional fee and can be added during checkout. This preserves the key meaning without omissions.
Do you price match if I find the same item cheaper on another website?,pQerwgGR,good,The AI answer preserves the key policy: they do price match identical products from a competitor’s website and instruct the customer to contact support with product and offer details. This is semantically equivalent to the ground truth.
What do I need to send you to request a price match?,pQerwgGR,good,"The AI answer conveys the key instruction from the ground truth: contact customer support with the product details and the competitor's offer. It omits the explicit mention that the item must be identical and that the policy is about price matching, but the requested information to send is accurately stated. This is semantically equivalent for the question asked."
Will you match an identical product from a competitor's online store?,pQerwgGR,good,The AI answer preserves the key meaning of the ground truth: they do price matching for identical products on a competitor's website and instruct the customer to contact support with product and competitor offer details. This is semantically equivalent.
Who should I contact about getting a lower price honored?,pQerwgGR,good,"The AI answer preserves the key instruction to contact customer support and include the product and competitor offer details. It omits the explicit mention of the price matching policy and the condition that the product must be identical and from a competitor's website, but the core contact guidance is the same and the omission does not change the practical answer to the question asked."
Does your price matching apply to products sold on competitor websites?,pQerwgGR,good,The AI answer matches the ground truth in meaning: it confirms price matching applies to identical products on competitor websites and directs the customer to contact support with the product and competitor offer details. No key information is missing or incorrect.
"Can I place an order over the phone, or do I need to use the website?",WjdX35YM,good,"The AI answer matches the ground truth: it says phone orders are not accepted and instructs the user to place the order through the website for a smooth and secure transaction. Same meaning, no missing key point."
Why don't you accept phone orders?,WjdX35YM,bad,The AI answer does not convey the ground-truth response. The correct answer is that phone orders are not accepted and customers should place orders through the website for a smooth and secure transaction. Saying 'I don't know' is incorrect and misses the key point entirely.
Is there any way to order without going online?,WjdX35YM,bad,The ground truth says phone orders are not accepted and orders must be placed through the website. The AI answer gives no useful information and fails to answer the question correctly.
How should I complete my order if phone ordering isn't available?,WjdX35YM,good,"The AI answer conveys the key instruction from the ground truth: if phone ordering isn't available, customers should place the order through the website. It omits the explicit statement that phone orders are not accepted, but that detail is not necessary to preserve the main meaning."
Do you only take orders through your website?,WjdX35YM,good,"The AI answer matches the ground truth: orders must be placed through the website, and phone orders are not accepted. It preserves the key information accurately, with no contradiction or missing core point."
How secure are my personal and payment details when I shop here?,ReZBFLXz,good,The AI answer preserves the full meaning of the ground truth: it affirms that personal and payment details are treated seriously and that industry-standard encryption plus strict security protocols are used to protect information. This is semantically equivalent.
Do you use encryption to protect my payment information?,ReZBFLXz,good,"The AI answer preserves the key points from the ground truth: affirmative response, use of industry-standard encryption, strict security protocols, and protection of personal/payment details. It is semantically equivalent."
What steps do you take to keep my personal details safe?,ReZBFLXz,good,"The AI answer conveys the same core message as the ground truth: personal and payment details are taken seriously, protected with industry-standard encryption, and safeguarded by strict security protocols. It is semantically equivalent."
Can I trust that my checkout and payment info are protected?,ReZBFLXz,good,"The AI answer conveys the same core message as the ground truth: yes, checkout and payment info are protected using industry-standard encryption and strict security protocols. No key information is missing or contradicted."
What security measures are in place for customer data and payments?,ReZBFLXz,good,The AI answer conveys the same core information as the ground truth: customer data and payment details are protected using industry-standard encryption and strict security protocols. It is semantically equivalent.
Do you offer a price adjustment if something I bought goes on sale a few days later?,a5GtrKth,good,"The AI answer matches the ground truth: it states that price adjustments are available if the item goes on sale within 7 days of purchase, and that the customer should contact support with order details to request a one-time adjustment. No key information is missing or incorrect."
How long after my purchase can I ask for a price adjustment?,a5GtrKth,good,"The AI answer correctly states the 7-day window for requesting a price adjustment. It omits the detail that it is a one-time adjustment and that customer support must be contacted with order details, but the core answer to the question is preserved."
Is there a limit to how many times I can request a price match or adjustment?,a5GtrKth,good,"The ground truth says there is a one-time price adjustment if the product goes on sale within 7 days of purchase, and to contact customer support with order details. The AI answer correctly captures the one-time price adjustment and 7-day window. However, it adds a distinction about price matching that is not supported by the provided ground truth and may confuse the policy. Since the core answer is still substantially correct, this is acceptable."
What info do I need to give customer support to get a price adjustment?,a5GtrKth,good,"The AI answer conveys the key requirement that the customer should contact support with order details, and it correctly includes the 7-day sale window for eligibility. This matches the ground truth."
Who do I contact to request a refund for the difference if my item drops in price?,a5GtrKth,good,"The AI answer conveys the key instruction to contact customer support with order details to request a price adjustment. It omits the 7-day sale window and the fact that this is a one-time adjustment, but the core contact guidance matches the ground truth and the question asks who to contact. Semantically equivalent for the asked question."
Do you offer a loyalty program for customers?,2YfiKrhi,good,"The AI answer preserves the full meaning of the ground truth: it confirms the loyalty program, explains that points are earned on purchases and redeemed for discounts, and directs the customer to the website for more information and joining. It is semantically equivalent."
How does your points rewards program work?,2YfiKrhi,good,"The AI answer matches the ground truth exactly, conveying the same loyalty program details: earn points on purchases, redeem for discounts, and visit the website to learn more and join."
Can I earn points when I place an order with you?,2YfiKrhi,good,"The AI answer preserves the key information from the ground truth: customers can earn points on purchases via a loyalty program, and those points can be redeemed for discounts on future orders. It omits the invitation to visit the website to learn more and join, but that is supplementary rather than core content, so the answers are semantically equivalent."
What can I use my loyalty points for?,2YfiKrhi,good,"The AI answer captures the key point from the ground truth: loyalty points can be redeemed for discounts on future orders. It omits the extra details about earning points on purchases and joining the program, but those are not essential to answering the question asked."
Where do I sign up for your customer rewards program?,2YfiKrhi,good,"The AI answer captures the key instruction to visit the website to learn more and join the loyalty program. It omits the details about earning points and redeeming them for discounts, but the core response to where/how to sign up is preserved and semantically equivalent."
"Do I have to make an account before I can place an order, or is guest checkout allowed?",7VOpywBa,good,"The AI answer matches the ground truth: it confirms guest checkout is allowed, states that an account is not required to place an order, and mentions the same benefits of creating an account (order tracking and easier future purchases)."
Can I buy as a guest without registering first?,7VOpywBa,good,"The AI answer correctly states the core point that guest checkout is allowed without registering. It omits the additional note about benefits of creating an account, but that is supplementary rather than essential to the direct question."
Is an account required to order from your store?,7VOpywBa,good,"The AI answer matches the ground truth: it says an account is not required, guest checkout is available, and it mentions the same benefits of creating an account. The initial 'No.' is semantically consistent with 'Is an account required?'"
What are the benefits of creating an account instead of checking out as a guest?,7VOpywBa,good,"The AI answer conveys the key benefits from the ground truth: order tracking and easier future purchases. It omits the note that guest checkout is also possible, but the question asks specifically about the benefits of creating an account, so the omission does not change the core meaning."
"If I order without an account, will I still be able to track my order easily?",7VOpywBa,good,"The AI answer preserves the key point from the ground truth: guest checkout is allowed, and having an account provides easier order tracking. It adds a specific mechanism (Order History after logging in) that is consistent with the idea of account-based tracking and does not contradict the original. The original answer does not explicitly say guest orders can be tracked easily, only that an account offers order tracking benefits, so the AI response is semantically aligned."
Do you give bulk or wholesale discounts on any of your products?,kZytRxiL,good,"The AI answer matches the ground truth exactly in meaning and wording, including the availability of bulk/wholesale discounts and the instruction to contact customer support or visit the Wholesale page for more information."
How can I find out if a product qualifies for wholesale pricing?,kZytRxiL,good,"The AI answer preserves the core meaning of the ground truth: wholesale/bulk discounts are available for some products, and the way to check eligibility is to contact customer support or visit the Wholesale page. It is semantically equivalent and does not omit any key information."
Who should I contact to ask about bulk order discounts?,kZytRxiL,good,"The AI answer conveys the same key information as the ground truth: bulk/wholesale discounts are available, and the user should contact customer support or visit the Wholesale page for details. It omits the explicit note that discounts apply to certain products and the phrase about discussing specific requirements, but the core answer is unchanged."
Is there a wholesale page where I can see discount details and requirements?,kZytRxiL,good,"The AI answer preserves the core meaning of the ground truth: there is a Wholesale page with more information and a place to discuss specific requirements. It omits the mention that bulk/wholesale discounts are for certain products and the option to contact customer support, but these are extra details rather than essential to the user's question. Semantically equivalent."
Can you help me with pricing for a large order?,kZytRxiL,bad,The ground truth says bulk/wholesale discounts are available for certain products and directs the customer to support or the Wholesale page. The AI answer does not convey this information and is not semantically equivalent.
How can I change or cancel an item after placing my order?,ztV57ROG,good,"The AI answer conveys the same essential instruction as the ground truth: contact customer support as soon as possible, and they will help with changing or canceling the item and the necessary steps. No key information is missing or incorrect."
Who should I contact if I want to cancel part of my order?,ztV57ROG,good,The AI answer matches the ground truth: it instructs the customer to contact customer support as soon as possible and says they will help cancel part of the order. This conveys the same key information.
Is it possible to edit an item in my order after checkout?,ztV57ROG,good,"The AI answer conveys the same information as the ground truth: changes or cancellations after checkout should be handled by contacting customer support as soon as possible, and they will help with the necessary steps. Semantically equivalent."
What should I do if I need to cancel something from my order right away?,ztV57ROG,good,"The AI answer conveys the same core instruction as the ground truth: contact customer support as soon as possible to change or cancel an order item, and they will assist with the necessary steps. This is semantically equivalent."
Can customer support help me make changes to an order I already placed?,ztV57ROG,good,"The AI answer conveys the same core message as the ground truth: customer support can help with changing or canceling an order/item, and you should contact them as soon as possible for assistance. It preserves the key instruction and meaning."
Where do I go on the site if I want to write a review for something I bought?,4riZFS2i,good,"The AI answer matches the ground truth’s core instruction: go to the product page and click the “Write a Review” button. It omits the extra explanation about sharing feedback and rating, but that is not essential to the answer."
How do I submit feedback and a rating for a product on your website?,4riZFS2i,good,The AI answer matches the ground truth exactly in meaning: it instructs the user to navigate to the product page and click 'Write a Review' to leave feedback and a rating. It preserves the key information without contradiction or omission.
Is there a button I need to click to leave a review on the product page?,4riZFS2i,good,"The AI answer correctly states that you need to go to the product page and click the 'Write a Review' button to leave a review. This matches the ground truth, with only minor omission of the note about sharing feedback and rating, which is not essential to the question."
"Can I review a product directly from its page, and if so, how?",4riZFS2i,good,"The AI answer matches the ground truth: it confirms reviews can be submitted from the product page and gives the correct action, clicking the “Write a Review” button, followed by leaving feedback and a rating. No key information is missing or incorrect."
What’s the easiest way to share my experience with a product and give it a rating?,4riZFS2i,good,"The AI answer captures the core instructions: go to the product page and click 'Write a Review' to leave feedback/rating. It omits the explicit mention that you can share your experience and rating, but that is implied by leaving a review. Semantically equivalent."
