question;document;hit_rate_text;hit_rate_vector;hit_rate_vector_combined;mrr_text;mrr_vector;mrr_vector_combined
Can I return a product as long as it's still in its original packaging?;doc_25_can_i_return_a_product_if_i_ch;1;1;0;0.14285714285714285;0.125;0.0
Do you have live chat support on the website, and when is it available?;doc_26_do_you_offer_live_chat_support;1;0;0;1.0;0.0;0.0
How can I start a chat with customer support on your site?;doc_26_do_you_offer_live_chat_support;1;0;0;0.5;0.0;0.0
Where do I find the chat icon to contact support?;doc_26_do_you_offer_live_chat_support;1;0;0;1.0;0.0;0.0
Is your live chat only available during business hours?;doc_26_do_you_offer_live_chat_support;1;1;0;1.0;1.0;0.0
Can I reach your support team through live chat on the bottom right corner of the page?;doc_26_do_you_offer_live_chat_support;1;1;0;1.0;0.5;0.0
Can I send an item as a gift to someone else?;doc_27_can_i_order_a_product_as_a_gif;1;1;0;0.3333333333333333;0.5;0.0
Is it possible to ship my order directly to the recipient as a gift?;doc_27_can_i_order_a_product_as_a_gif;1;0;0;0.3333333333333333;0.0;0.0
Can I enter a different shipping address at checkout for a gift order?;doc_27_can_i_order_a_product_as_a_gif;1;1;0;0.3333333333333333;0.1111111111111111;0.0
Does your checkout let me have a present delivered straight to the person receiving it?;doc_27_can_i_order_a_product_as_a_gif;0;0;0;0.0;0.0;0.0
Can I buy something as a gift and have it sent to the recipient’s address?;doc_27_can_i_order_a_product_as_a_gif;1;1;0;0.2;0.5;0.0
Why isn’t my discount code working at checkout?;doc_28_what_should_i_do_if_my_discoun;1;1;0;1.0;0.2;0.0
What should I check if a promo code doesn’t apply?;doc_28_what_should_i_do_if_my_discoun;1;1;0;1.0;0.5;0.0
My coupon code won’t work—what am I missing?;doc_28_what_should_i_do_if_my_discoun;1;1;0;1.0;1.0;0.0
How do I fix a discount code that keeps getting rejected?;doc_28_what_should_i_do_if_my_discoun;1;1;0;1.0;0.2;0.0
If my discount code fails, should I contact support?;doc_28_what_should_i_do_if_my_discoun;1;1;0;1.0;1.0;0.0
Are final sale items returnable or refundable at all?;doc_29_can_i_return_a_product_if_it_w;1;1;0;0.5;0.3333333333333333;0.0
How can I tell if an item is final sale before buying?;doc_29_can_i_return_a_product_if_it_w;1;0;0;1.0;0.0;0.0
What should I do if I’m not sure whether my item can be returned?;doc_29_can_i_return_a_product_if_it_w;1;0;0;0.125;0.0;0.0
Do I need to check the product page to confirm return eligibility for final sale products?;doc_29_can_i_return_a_product_if_it_w;1;0;0;0.5;0.0;0.0
Can customer support confirm if a specific final sale item is returnable?;doc_29_can_i_return_a_product_if_it_w;1;1;0;1.0;1.0;0.0
Do you provide installation for every product, or only certain items?;doc_30_do_you_offer_installation_serv;1;0;0;1.0;0.0;0.0
How can I tell if a product comes with installation service?;doc_30_do_you_offer_installation_serv;1;0;0;0.5;0.0;0.0
Where do I check to see whether installation is available before I buy?;doc_30_do_you_offer_installation_serv;1;0;0;1.0;0.0;0.0
If I need installation, who should I contact to set it up?;doc_30_do_you_offer_installation_serv;1;0;0;0.25;0.0;0.0
Can customer support help me request installation for a product?;doc_30_do_you_offer_installation_serv;1;1;0;0.25;0.3333333333333333;0.0
Can I still buy a product if it’s been discontinued?;doc_31_can_i_order_a_product_that_is_;1;0;0;0.3333333333333333;0.0;0.0
Are discontinued items still available to order?;doc_31_can_i_order_a_product_that_is_;1;0;0;0.3333333333333333;0.0;0.0
What happens if the product I want is discontinued?;doc_31_can_i_order_a_product_that_is_;1;0;0;0.25;0.0;0.0
Can I place an order for something that’s no longer sold?;doc_31_can_i_order_a_product_that_is_;0;0;0;0.0;0.0;0.0
Do you offer any replacement or alternative products for discontinued items?;doc_31_can_i_order_a_product_that_is_;0;0;0;0.0;0.0;0.0
Can I return something if I don't have the receipt?;doc_32_can_i_return_a_product_without;1;0;0;0.3333333333333333;0.0;0.0
Is a proof of purchase required to make a return?;doc_32_can_i_return_a_product_without;1;1;0;0.5;0.16666666666666666;0.0
What do I need to bring for a return if I lost my receipt?;doc_32_can_i_return_a_product_without;1;0;0;0.3333333333333333;0.0;0.0
Can customer support help me with a return when I don't have proof of purchase?;doc_32_can_i_return_a_product_without;0;0;0;0.0;0.0;0.0
Do I have to show a receipt to return a product?;doc_32_can_i_return_a_product_without;1;0;0;0.5;0.0;0.0
Do you ship to countries outside my own, or is it only certain destinations?;doc_33_can_i_order_a_product_for_deli;0;0;0;0.0;0.0;0.0
How can I tell if my country is included before I place the order?;doc_33_can_i_order_a_product_for_deli;1;0;0;0.5;0.0;0.0
Is international delivery available for all products, or only some countries?;doc_33_can_i_order_a_product_for_deli;1;0;0;0.5;0.0;0.0
Where do I check the list of shipping destinations during checkout?;doc_33_can_i_order_a_product_for_deli;1;1;0;0.16666666666666666;0.5;0.0
If my country isn’t shown, can customer support help me with shipping options?;doc_33_can_i_order_a_product_for_deli;1;0;0;0.25;0.0;0.0
Can I include a gift note when I place my order?;doc_34_can_i_add_a_gift_message_to_my;1;1;0;1.0;0.5;0.0
Is there an option to add a personalized message at checkout?;doc_34_can_i_add_a_gift_message_to_my;1;1;0;1.0;0.5;0.0
Where do I put a gift message during the checkout process?;doc_34_can_i_add_a_gift_message_to_my;1;0;0;1.0;0.0;0.0
Can I write a custom note to go with my order?;doc_34_can_i_add_a_gift_message_to_my;1;0;0;0.5;0.0;0.0
Does your checkout let me add a message for a gift?;doc_34_can_i_add_a_gift_message_to_my;1;0;0;1.0;0.0;0.0
Do you offer product demos before I buy, or is that not available right now?;doc_35_can_i_request_a_product_demons;0;0;0;0.0;0.0;0.0
Can I see a demonstration of the product prior to purchase?;doc_35_can_i_request_a_product_demons;1;0;0;1.0;0.0;0.0
Is there any way to get a demo or trial before placing an order?;doc_35_can_i_request_a_product_demons;1;0;0;0.3333333333333333;0.0;0.0
Before buying, can I view a live product walkthrough somewhere?;doc_35_can_i_request_a_product_demons;1;0;0;1.0;0.0;0.0
Do you have demonstrations for products, or should I just rely on the product details and reviews?;doc_35_can_i_request_a_product_demons;0;0;0;0.0;0.0;0.0
Can I buy something that says coming soon, or do I have to wait?;doc_36_can_i_order_a_product_that_is_;1;0;0;1.0;0.0;0.0
Is there any way to place an order for a product marked coming soon?;doc_36_can_i_order_a_product_that_is_;1;0;0;0.25;0.0;0.0
What does it mean when an item is listed as coming soon?;doc_36_can_i_order_a_product_that_is_;1;0;0;1.0;0.0;0.0
How can I get notified when a coming soon product is available?;doc_36_can_i_order_a_product_that_is_;1;1;0;0.2;0.125;0.0
Are coming soon products available for purchase right now?;doc_36_can_i_order_a_product_that_is_;1;1;0;0.16666666666666666;0.5;0.0
Will an invoice come with my order automatically, or do I need to ask for one?;doc_37_can_i_request_an_invoice_for_m;1;0;0;1.0;0.0;0.0
If I need a separate invoice for my purchase, how can I get it?;doc_37_can_i_request_an_invoice_for_m;1;0;0;1.0;0.0;0.0
Is there a way to contact support and request an invoice using my order number?;doc_37_can_i_request_an_invoice_for_m;1;0;0;1.0;0.0;0.0
Do you include invoices with orders, and what should I do if I need a different one?;doc_37_can_i_request_an_invoice_for_m;0;0;0;0.0;0.0;0.0
How do I get a separate invoice for an order I already placed?;doc_37_can_i_request_an_invoice_for_m;1;1;0;1.0;0.2;0.0
Can I still order a limited edition product if it shows up online?;doc_38_can_i_order_a_product_that_is_;1;0;0;1.0;0.0;0.0
Do limited edition items usually sell out fast, or can I wait a bit?;doc_38_can_i_order_a_product_that_is_;1;0;0;1.0;0.0;0.0
Should I place my order right away for a limited edition product?;doc_38_can_i_order_a_product_that_is_;1;0;0;1.0;0.0;0.0
What does it mean when a product is marked as limited edition?;doc_38_can_i_order_a_product_that_is_;1;0;0;1.0;0.0;0.0
Are limited edition products always available, or is stock often limited?;doc_38_can_i_order_a_product_that_is_;1;0;0;1.0;0.0;0.0
Can I still return something if I threw away the original box and packaging?;doc_39_can_i_return_a_product_if_i_no;1;1;0;1.0;0.1111111111111111;0.0
Is it possible to start a return without the original packaging?;doc_39_can_i_return_a_product_if_i_no;1;1;0;1.0;0.16666666666666666;0.0
Do I need the product’s original packaging to make a return?;doc_39_can_i_return_a_product_if_i_no;1;1;0;1.0;0.25;0.0
What should I do if I want to return an item but don’t have the original box anymore?;doc_39_can_i_return_a_product_if_i_no;1;1;0;0.5;0.1111111111111111;0.0
Can customer support help me return a product even if it’s not in the original packaging?;doc_39_can_i_return_a_product_if_i_no;1;1;0;1.0;1.0;0.0
Can I reserve an item if it's sold out, or do I have to wait until it comes back?;doc_40_can_i_request_a_product_that_i;0;0;1;0.0;0.0;0.3333333333333333
Is there any way to hold an out-of-stock product for me until it’s available again?;doc_40_can_i_request_a_product_that_i;1;1;1;1.0;0.5;0.3333333333333333
Do you offer reservations on items that are currently unavailable?;doc_40_can_i_request_a_product_that_i;0;1;1;0.0;0.3333333333333333;0.3333333333333333
If a product is out of stock, can I get notified when it’s restocked instead of reserving it?;doc_40_can_i_request_a_product_that_i;1;1;1;0.14285714285714285;0.16666666666666666;0.3333333333333333
How can I be alerted when a sold-out item becomes available again?;doc_40_can_i_request_a_product_that_i;1;1;1;0.14285714285714285;0.5;0.3333333333333333
Can I checkout with both pre-order and ready-to-ship items in the same order?;doc_41_can_i_order_a_product_that_is_;1;1;0;1.0;1.0;0.0
If I buy an item on pre-order with items in stock, will everything ship separately or together?;doc_41_can_i_order_a_product_that_is_;1;0;0;1.0;0.0;0.0
Is it okay to add a pre-order product to my cart along with in-stock products?;doc_41_can_i_order_a_product_that_is_;1;1;0;0.5;0.14285714285714285;0.0
When a pre-order item is included, does the whole order wait until everything is available?;doc_41_can_i_order_a_product_that_is_;1;1;0;0.1111111111111111;1.0;0.0
Can I place one order for both pre-order and in-stock products, or do I need to split them?;doc_41_can_i_order_a_product_that_is_;1;1;0;1.0;1.0;0.0
What should I do if my item arrives damaged in shipping?;doc_42_can_i_return_a_product_if_it_w;1;1;0;0.2;0.16666666666666666;0.0
Can I get a replacement if the product was damaged during delivery?;doc_42_can_i_return_a_product_if_it_w;1;1;0;1.0;0.125;0.0
Who do I contact when a package gets damaged on the way to me?;doc_42_can_i_return_a_product_if_it_w;0;0;0;0.0;0.0;0.0
Is it possible to return a damaged item from shipping?;doc_42_can_i_return_a_product_if_it_w;1;1;0;0.5;0.14285714285714285;0.0
How do I start the return or exchange process for a shipping-damaged product?;doc_42_can_i_return_a_product_if_it_w;1;0;0;1.0;0.0;0.0
Is there a way to get notified when an out-of-stock item comes back?;doc_43_can_i_request_a_product_that_i;1;0;0;1.0;0.0;0.0
Do you restock popular products after they sell out?;doc_43_can_i_request_a_product_that_i;1;1;0;0.1;0.3333333333333333;0.0
Can I sign up for alerts for a product that's currently unavailable?;doc_43_can_i_request_a_product_that_i;0;1;0;0.0;0.1111111111111111;0.0
How will I know when a sold-out item is available again?;doc_43_can_i_request_a_product_that_i;0;1;0;0.0;0.1;0.0
Is it possible to request restock updates for something I want to buy?;doc_43_can_i_request_a_product_that_i;1;1;0;0.3333333333333333;1.0;0.0
If an item says backordered, can I still buy it now?;doc_44_can_i_order_a_product_if_it_is;1;0;0;0.5;0.0;0.0
What does backordered mean when I’m trying to order something?;doc_44_can_i_order_a_product_if_it_is;1;0;0;0.5;0.0;0.0
Will my order go through even if the product is temporarily out of stock?;doc_44_can_i_order_a_product_if_it_is;0;0;0;0.0;0.0;0.0
Do backordered items get shipped once they’re restocked?;doc_44_can_i_order_a_product_if_it_is;1;0;0;1.0;0.0;0.0
Can I place an order for a product that isn’t in stock yet?;doc_44_can_i_order_a_product_if_it_is;0;0;0;0.0;0.0;0.0
Can I still return an item if I bought it on sale or using a discount code?;doc_45_can_i_return_a_product_if_it_w;1;0;0;0.5;0.0;0.0
If I purchase something with a discount, will I get refunded the full price or only what I paid?;doc_45_can_i_return_a_product_if_it_w;1;1;0;1.0;0.1111111111111111;0.0
Are sale items eligible for returns, or are they final sale?;doc_45_can_i_return_a_product_if_it_w;1;0;0;0.25;0.0;0.0
How does the refund work for products bought at a reduced price?;doc_45_can_i_return_a_product_if_it_w;0;1;0;0.0;0.3333333333333333;0.0
If my order was discounted, can I send it back and get my money back based on the discounted amount?;doc_45_can_i_return_a_product_if_it_w;0;0;0;0.0;0.0;0.0
What should I do if my product arrives damaged, and can I get it repaired or replaced?;doc_46_can_i_request_a_product_repair;1;1;0;0.25;0.2;0.0
If a product is damaged when I get it, how do I contact support for a repair or replacement?;doc_46_can_i_request_a_product_repair;1;1;0;1.0;0.25;0.0
Can your customer support help me with a damaged item, like fixing it or sending a replacement?;doc_46_can_i_request_a_product_repair;1;1;0;1.0;0.25;0.0
I received a broken product — what are the next steps to request a repair or replacement?;doc_46_can_i_request_a_product_repair;1;0;0;1.0;0.0;0.0
Do I need to contact customer support right away if my order shows up damaged?;doc_46_can_i_request_a_product_repair;0;0;0;0.0;0.0;0.0
