question,document
Will shipping costs for overseas orders show up at checkout?,doc_6_do_you_offer_international_shi
"Can I order from another country, and will the total shipping fee be calculated automatically?",doc_6_do_you_offer_international_shi
What do I need to do if my package gets lost in transit?,doc_7_what_should_i_do_if_my_package
Who should I contact if my order arrives damaged?,doc_7_what_should_i_do_if_my_package
"If my package goes missing, how do I start a claim?",doc_7_what_should_i_do_if_my_package
What’s the fastest way to report a damaged delivery?,doc_7_what_should_i_do_if_my_package
Do I need to reach out right away if my parcel is lost or damaged?,doc_7_what_should_i_do_if_my_package
How can I update my shipping address after I’ve already placed an order?,doc_8_can_i_change_my_shipping_addre
Is it possible to change the delivery address before my order ships?,doc_8_can_i_change_my_shipping_addre
What should I do if I entered the wrong shipping address at checkout?,doc_8_can_i_change_my_shipping_addre
Can customer support still change my address if the package hasn’t been sent out yet?,doc_8_can_i_change_my_shipping_addre
Who do I contact to request a shipping address change on an existing order?,doc_8_can_i_change_my_shipping_addre
How do I get in touch with customer support by phone or email?,doc_9_how_can_i_contact_customer_sup
What’s the best way to reach your support team if I need help?,doc_9_how_can_i_contact_customer_sup
"Can I contact customer service by email, or do I need to call?",doc_9_how_can_i_contact_customer_sup
What are the ways to contact support for questions or issues with my order?,doc_9_how_can_i_contact_customer_sup
"When is customer support available, and how can I reach them?",doc_9_how_can_i_contact_customer_sup
"Can I add gift wrapping when I check out, and is there an extra charge?",doc_10_do_you_offer_gift_wrapping_ser
"Do you provide gift wrap for orders, or is that something I need to request separately?",doc_10_do_you_offer_gift_wrapping_ser
How do I choose the gift wrapping option for my purchase?,doc_10_do_you_offer_gift_wrapping_ser
Is gift wrapping available on your site for every order?,doc_10_do_you_offer_gift_wrapping_ser
"Will I be able to select gift wrap during checkout, and does it cost more?",doc_10_do_you_offer_gift_wrapping_ser
Do you price match identical products from other websites?,doc_11_what_is_your_price_matching_po
How do I request a price match for a competitor's lower price?,doc_11_what_is_your_price_matching_po
What details do I need to send to customer support for a price match?,doc_11_what_is_your_price_matching_po
Will you match a cheaper offer I found on another store's website?,doc_11_what_is_your_price_matching_po
Does your price matching apply to the exact same item sold by competitors?,doc_11_what_is_your_price_matching_po
"Can I place an order by phone, or do I need to use the website?",doc_12_can_i_order_by_phone_
Do you take phone orders if I want to buy something quickly?,doc_12_can_i_order_by_phone_
Is it possible to call in an order instead of ordering online?,doc_12_can_i_order_by_phone_
"Why can’t I order over the phone, and how should I place my order?",doc_12_can_i_order_by_phone_
"Can I make a purchase by phone, or is online checkout required?",doc_12_can_i_order_by_phone_
How do you protect my personal and payment information when I shop with you?,doc_13_are_my_personal_and_payment_de
Is it safe to enter my card details on your website?,doc_13_are_my_personal_and_payment_de
What security measures do you use to keep customer data protected?,doc_13_are_my_personal_and_payment_de
Do you use encryption for personal and payment details?,doc_13_are_my_personal_and_payment_de
Can I trust your checkout process with my sensitive information?,doc_13_are_my_personal_and_payment_de
Do you offer a price adjustment if the item I bought gets discounted right after I ordered it?,doc_14_what_is_your_price_adjustment_
How many days after purchase can I ask for a price match or adjustment?,doc_14_what_is_your_price_adjustment_
Is the price adjustment something I can use more than once on the same order?,doc_14_what_is_your_price_adjustment_
What do I need to send to customer support to get a price adjustment?,doc_14_what_is_your_price_adjustment_
"If something I purchased goes on sale within a week, can I request the difference back?",doc_14_what_is_your_price_adjustment_
"Do you offer a loyalty program for customers, and how does it work?",doc_15_do_you_have_a_loyalty_program_
"Can I earn points when I shop with you, and what can I use them for?",doc_15_do_you_have_a_loyalty_program_
How do I join your rewards program or sign up for it?,doc_15_do_you_have_a_loyalty_program_
Are the points from purchases redeemable for discounts on my next order?,doc_15_do_you_have_a_loyalty_program_
Where can I find more info about your loyalty program on your website?,doc_15_do_you_have_a_loyalty_program_
Is it possible to buy as a guest without signing up?,doc_16_can_i_order_without_creating_a
Do I have to create an account before placing an order?,doc_16_can_i_order_without_creating_a
Can I check out without registering first?,doc_16_can_i_order_without_creating_a
Will guest checkout work if I don’t want an account?,doc_16_can_i_order_without_creating_a
What’s the point of making an account if I can order without one?,doc_16_can_i_order_without_creating_a
Do you offer discounts if I order a lot at once?,doc_17_do_you_offer_bulk_or_wholesale
Is there a wholesale price for your products?,doc_17_do_you_offer_bulk_or_wholesale
Can I get a bulk discount on certain items?,doc_17_do_you_offer_bulk_or_wholesale
Who should I contact to ask about wholesale pricing?,doc_17_do_you_offer_bulk_or_wholesale
Where can I find more info about your wholesale program?,doc_17_do_you_offer_bulk_or_wholesale
How do I change or cancel something from my order after I place it?,doc_18_can_i_change_or_cancel_an_item
Is it possible to edit or cancel an order item before it ships?,doc_18_can_i_change_or_cancel_an_item
Who should I contact if I want to cancel one item in my order?,doc_18_can_i_change_or_cancel_an_item
What’s the fastest way to request a change to my order item?,doc_18_can_i_change_or_cancel_an_item
Can customer support help me remove an item from my order?,doc_18_can_i_change_or_cancel_an_item
How do I write a review for a product I bought?,doc_19_how_can_i_leave_a_product_revi
Where can I find the button to leave a product review?,doc_19_how_can_i_leave_a_product_revi
Do I need to go to the product page to submit feedback and a rating?,doc_19_how_can_i_leave_a_product_revi
What’s the easiest way to add a review on your website?,doc_19_how_can_i_leave_a_product_revi
Can I share my experience and rate an item from the product page?,doc_19_how_can_i_leave_a_product_revi
Can I stack more than one promo code on the same order?,doc_20_can_i_use_multiple_promo_codes
"Is it possible to use multiple discount codes during checkout, or just one?",doc_20_can_i_use_multiple_promo_codes
How many promo codes can I apply to a single purchase?,doc_20_can_i_use_multiple_promo_codes
"If I have several promo codes, can I combine them on one order?",doc_20_can_i_use_multiple_promo_codes
Do I need to pick only one promo code when I check out?,doc_20_can_i_use_multiple_promo_codes
"I got the wrong item in my order, what should I do next?",doc_21_what_should_i_do_if_i_receive_
Who do I contact if my package arrives with the wrong product?,doc_21_what_should_i_do_if_i_receive_
"If I was sent the wrong item, will you send the correct one and take the other back?",doc_21_what_should_i_do_if_i_receive_
What’s the quickest way to fix an order that contains the wrong item?,doc_21_what_should_i_do_if_i_receive_
Do I need to return the wrong item myself if the order was shipped incorrectly?,doc_21_what_should_i_do_if_i_receive_
Do you have faster shipping options if I need my order sooner?,doc_22_do_you_offer_expedited_shippin
Can I choose expedited shipping at checkout?,doc_22_do_you_offer_expedited_shippin
How do I upgrade my delivery speed when placing an order?,doc_22_do_you_offer_expedited_shippin
Is there an option for quicker shipping on your site?,doc_22_do_you_offer_expedited_shippin
What’s the fastest shipping method I can select during checkout?,doc_22_do_you_offer_expedited_shippin
"Can I still buy something if it’s currently out of stock, or is there a waitlist?",doc_23_can_i_order_a_product_that_is_
What happens when a product is out of stock on your site?,doc_23_can_i_order_a_product_that_is_
Is there a way to get notified when an out-of-stock item comes back?,doc_23_can_i_order_a_product_that_is_
Do you offer alerts for items that aren’t available right now?,doc_23_can_i_order_a_product_that_is_
How do I know when a sold-out product is available again?,doc_23_can_i_order_a_product_that_is_
What kind of updates do you send in your email newsletter?,doc_24_what_is_your_email_newsletter_
Does the newsletter include new product announcements and special deals?,doc_24_what_is_your_email_newsletter_
Will I get tips about your products if I sign up for your emails?,doc_24_what_is_your_email_newsletter_
How can I subscribe to your newsletter on the website?,doc_24_what_is_your_email_newsletter_
What should I expect to receive after joining your email list?,doc_24_what_is_your_email_newsletter_
Can I send something back if I just changed my mind?,doc_25_can_i_return_a_product_if_i_ch
Is it possible to return an item when I no longer want it?,doc_25_can_i_return_a_product_if_i_ch
Do you accept returns for products I ordered but decided to keep?,doc_25_can_i_return_a_product_if_i_ch
What do I need to do to return an item if I changed my mind?,doc_25_can_i_return_a_product_if_i_ch
Can I return a product as long as it's still in its original packaging?,doc_25_can_i_return_a_product_if_i_ch
"Do you have live chat support on the website, and when is it available?",doc_26_do_you_offer_live_chat_support
How can I start a chat with customer support on your site?,doc_26_do_you_offer_live_chat_support
Where do I find the chat icon to contact support?,doc_26_do_you_offer_live_chat_support
Is your live chat only available during business hours?,doc_26_do_you_offer_live_chat_support
Can I reach your support team through live chat on the bottom right corner of the page?,doc_26_do_you_offer_live_chat_support
Can I send an item as a gift to someone else?,doc_27_can_i_order_a_product_as_a_gif
Is it possible to ship my order directly to the recipient as a gift?,doc_27_can_i_order_a_product_as_a_gif
Can I enter a different shipping address at checkout for a gift order?,doc_27_can_i_order_a_product_as_a_gif
Does your checkout let me have a present delivered straight to the person receiving it?,doc_27_can_i_order_a_product_as_a_gif
Can I buy something as a gift and have it sent to the recipient’s address?,doc_27_can_i_order_a_product_as_a_gif
Why isn’t my discount code working at checkout?,doc_28_what_should_i_do_if_my_discoun
What should I check if a promo code doesn’t apply?,doc_28_what_should_i_do_if_my_discoun
My coupon code won’t work—what am I missing?,doc_28_what_should_i_do_if_my_discoun
How do I fix a discount code that keeps getting rejected?,doc_28_what_should_i_do_if_my_discoun
"If my discount code fails, should I contact support?",doc_28_what_should_i_do_if_my_discoun
Are final sale items returnable or refundable at all?,doc_29_can_i_return_a_product_if_it_w
How can I tell if an item is final sale before buying?,doc_29_can_i_return_a_product_if_it_w
What should I do if I’m not sure whether my item can be returned?,doc_29_can_i_return_a_product_if_it_w
Do I need to check the product page to confirm return eligibility for final sale products?,doc_29_can_i_return_a_product_if_it_w
Can customer support confirm if a specific final sale item is returnable?,doc_29_can_i_return_a_product_if_it_w
"Do you provide installation for every product, or only certain items?",doc_30_do_you_offer_installation_serv
How can I tell if a product comes with installation service?,doc_30_do_you_offer_installation_serv
Where do I check to see whether installation is available before I buy?,doc_30_do_you_offer_installation_serv
"If I need installation, who should I contact to set it up?",doc_30_do_you_offer_installation_serv
Can customer support help me request installation for a product?,doc_30_do_you_offer_installation_serv
Can I still buy a product if it’s been discontinued?,doc_31_can_i_order_a_product_that_is_
Are discontinued items still available to order?,doc_31_can_i_order_a_product_that_is_
What happens if the product I want is discontinued?,doc_31_can_i_order_a_product_that_is_
Can I place an order for something that’s no longer sold?,doc_31_can_i_order_a_product_that_is_
Do you offer any replacement or alternative products for discontinued items?,doc_31_can_i_order_a_product_that_is_
Can I return something if I don't have the receipt?,doc_32_can_i_return_a_product_without
Is a proof of purchase required to make a return?,doc_32_can_i_return_a_product_without
What do I need to bring for a return if I lost my receipt?,doc_32_can_i_return_a_product_without
Can customer support help me with a return when I don't have proof of purchase?,doc_32_can_i_return_a_product_without
Do I have to show a receipt to return a product?,doc_32_can_i_return_a_product_without
"Do you ship to countries outside my own, or is it only certain destinations?",doc_33_can_i_order_a_product_for_deli
How can I tell if my country is included before I place the order?,doc_33_can_i_order_a_product_for_deli
"Is international delivery available for all products, or only some countries?",doc_33_can_i_order_a_product_for_deli
Where do I check the list of shipping destinations during checkout?,doc_33_can_i_order_a_product_for_deli
"If my country isn’t shown, can customer support help me with shipping options?",doc_33_can_i_order_a_product_for_deli
Can I include a gift note when I place my order?,doc_34_can_i_add_a_gift_message_to_my
Is there an option to add a personalized message at checkout?,doc_34_can_i_add_a_gift_message_to_my
Where do I put a gift message during the checkout process?,doc_34_can_i_add_a_gift_message_to_my
Can I write a custom note to go with my order?,doc_34_can_i_add_a_gift_message_to_my
Does your checkout let me add a message for a gift?,doc_34_can_i_add_a_gift_message_to_my
"Do you offer product demos before I buy, or is that not available right now?",doc_35_can_i_request_a_product_demons
Can I see a demonstration of the product prior to purchase?,doc_35_can_i_request_a_product_demons
Is there any way to get a demo or trial before placing an order?,doc_35_can_i_request_a_product_demons
"Before buying, can I view a live product walkthrough somewhere?",doc_35_can_i_request_a_product_demons
"Do you have demonstrations for products, or should I just rely on the product details and reviews?",doc_35_can_i_request_a_product_demons
"Can I buy something that says coming soon, or do I have to wait?",doc_36_can_i_order_a_product_that_is_
Is there any way to place an order for a product marked coming soon?,doc_36_can_i_order_a_product_that_is_
What does it mean when an item is listed as coming soon?,doc_36_can_i_order_a_product_that_is_
How can I get notified when a coming soon product is available?,doc_36_can_i_order_a_product_that_is_
Are coming soon products available for purchase right now?,doc_36_can_i_order_a_product_that_is_
"Will an invoice come with my order automatically, or do I need to ask for one?",doc_37_can_i_request_an_invoice_for_m
"If I need a separate invoice for my purchase, how can I get it?",doc_37_can_i_request_an_invoice_for_m
Is there a way to contact support and request an invoice using my order number?,doc_37_can_i_request_an_invoice_for_m
"Do you include invoices with orders, and what should I do if I need a different one?",doc_37_can_i_request_an_invoice_for_m
How do I get a separate invoice for an order I already placed?,doc_37_can_i_request_an_invoice_for_m
Can I still order a limited edition product if it shows up online?,doc_38_can_i_order_a_product_that_is_
"Do limited edition items usually sell out fast, or can I wait a bit?",doc_38_can_i_order_a_product_that_is_
Should I place my order right away for a limited edition product?,doc_38_can_i_order_a_product_that_is_
What does it mean when a product is marked as limited edition?,doc_38_can_i_order_a_product_that_is_
"Are limited edition products always available, or is stock often limited?",doc_38_can_i_order_a_product_that_is_
Can I still return something if I threw away the original box and packaging?,doc_39_can_i_return_a_product_if_i_no
Is it possible to start a return without the original packaging?,doc_39_can_i_return_a_product_if_i_no
Do I need the product’s original packaging to make a return?,doc_39_can_i_return_a_product_if_i_no
What should I do if I want to return an item but don’t have the original box anymore?,doc_39_can_i_return_a_product_if_i_no
Can customer support help me return a product even if it’s not in the original packaging?,doc_39_can_i_return_a_product_if_i_no
"Can I reserve an item if it's sold out, or do I have to wait until it comes back?",doc_40_can_i_request_a_product_that_i
Is there any way to hold an out-of-stock product for me until it’s available again?,doc_40_can_i_request_a_product_that_i
Do you offer reservations on items that are currently unavailable?,doc_40_can_i_request_a_product_that_i
"If a product is out of stock, can I get notified when it’s restocked instead of reserving it?",doc_40_can_i_request_a_product_that_i
How can I be alerted when a sold-out item becomes available again?,doc_40_can_i_request_a_product_that_i
Can I checkout with both pre-order and ready-to-ship items in the same order?,doc_41_can_i_order_a_product_that_is_
"If I buy an item on pre-order with items in stock, will everything ship separately or together?",doc_41_can_i_order_a_product_that_is_
Is it okay to add a pre-order product to my cart along with in-stock products?,doc_41_can_i_order_a_product_that_is_
"When a pre-order item is included, does the whole order wait until everything is available?",doc_41_can_i_order_a_product_that_is_
"Can I place one order for both pre-order and in-stock products, or do I need to split them?",doc_41_can_i_order_a_product_that_is_
What should I do if my item arrives damaged in shipping?,doc_42_can_i_return_a_product_if_it_w
Can I get a replacement if the product was damaged during delivery?,doc_42_can_i_return_a_product_if_it_w
Who do I contact when a package gets damaged on the way to me?,doc_42_can_i_return_a_product_if_it_w
Is it possible to return a damaged item from shipping?,doc_42_can_i_return_a_product_if_it_w
How do I start the return or exchange process for a shipping-damaged product?,doc_42_can_i_return_a_product_if_it_w
Is there a way to get notified when an out-of-stock item comes back?,doc_43_can_i_request_a_product_that_i
Do you restock popular products after they sell out?,doc_43_can_i_request_a_product_that_i
Can I sign up for alerts for a product that's currently unavailable?,doc_43_can_i_request_a_product_that_i
How will I know when a sold-out item is available again?,doc_43_can_i_request_a_product_that_i
Is it possible to request restock updates for something I want to buy?,doc_43_can_i_request_a_product_that_i
"If an item says backordered, can I still buy it now?",doc_44_can_i_order_a_product_if_it_is
What does backordered mean when I’m trying to order something?,doc_44_can_i_order_a_product_if_it_is
Will my order go through even if the product is temporarily out of stock?,doc_44_can_i_order_a_product_if_it_is
Do backordered items get shipped once they’re restocked?,doc_44_can_i_order_a_product_if_it_is
Can I place an order for a product that isn’t in stock yet?,doc_44_can_i_order_a_product_if_it_is
Can I still return an item if I bought it on sale or using a discount code?,doc_45_can_i_return_a_product_if_it_w
"If I purchase something with a discount, will I get refunded the full price or only what I paid?",doc_45_can_i_return_a_product_if_it_w
"Are sale items eligible for returns, or are they final sale?",doc_45_can_i_return_a_product_if_it_w
How does the refund work for products bought at a reduced price?,doc_45_can_i_return_a_product_if_it_w
"If my order was discounted, can I send it back and get my money back based on the discounted amount?",doc_45_can_i_return_a_product_if_it_w
"What should I do if my product arrives damaged, and can I get it repaired or replaced?",doc_46_can_i_request_a_product_repair
"If a product is damaged when I get it, how do I contact support for a repair or replacement?",doc_46_can_i_request_a_product_repair
"Can your customer support help me with a damaged item, like fixing it or sending a replacement?",doc_46_can_i_request_a_product_repair
I received a broken product — what are the next steps to request a repair or replacement?,doc_46_can_i_request_a_product_repair
Do I need to contact customer support right away if my order shows up damaged?,doc_46_can_i_request_a_product_repair
Can I still buy something that shows out of stock if it has a pre-order option?,doc_47_can_i_order_a_product_if_it_is
"If an item is available for pre-order, does that mean I can place my order now?",doc_47_can_i_order_a_product_if_it_is
Will a pre-order let me secure the product even though it's not in stock yet?,doc_47_can_i_order_a_product_if_it_is
"When a product is marked out of stock but has pre-order available, can I order it anyway?",doc_47_can_i_order_a_product_if_it_is
Do pre-orders ship later once the item becomes available?,doc_47_can_i_order_a_product_if_it_is
"If I got something as a gift, can I still return it?",doc_48_can_i_return_a_product_if_it_w
How do gift returns work on your store?,doc_48_can_i_return_a_product_if_it_w
"Can a gifted item be sent back, and where does the refund go?",doc_48_can_i_return_a_product_if_it_w
What happens if I want to return a product that was bought for me as a gift?,doc_48_can_i_return_a_product_if_it_w
Is it possible to return a gift purchase even if I wasn't the one who paid?,doc_48_can_i_return_a_product_if_it_w
"If an item shows as discontinued, can I still order it somehow?",doc_49_can_i_request_a_product_if_it_
What does it mean when a product is marked discontinued on your site?,doc_49_can_i_request_a_product_if_it_
Is there any way to request a discontinued product or get it back in stock?,doc_49_can_i_request_a_product_if_it_
Do you still sell products that are listed as discontinued?,doc_49_can_i_request_a_product_if_it_
"If a product is discontinued, should I look for an alternative instead?",doc_49_can_i_request_a_product_if_it_
Can I still buy something that shows as sold out?,doc_50_can_i_order_a_product_if_it_is
Is there any way to order a product when it’s marked sold out?,doc_50_can_i_order_a_product_if_it_is
What does it mean if an item is sold out on the site?,doc_50_can_i_order_a_product_if_it_is
Should I wait or sign up for alerts if a product isn’t available right now?,doc_50_can_i_order_a_product_if_it_is
"When a product is sold out, can I purchase it later or get notified?",doc_50_can_i_order_a_product_if_it_is
"Can I send back something I bought with a gift card, and do I get money back or store credit?",doc_51_can_i_return_a_product_if_it_w
"If I paid with a gift card, is a return still allowed?",doc_51_can_i_return_a_product_if_it_w
"When I return an item purchased using a gift card, how is the refund given?",doc_51_can_i_return_a_product_if_it_w
"Do returns for gift card purchases go back as cash, or is it store credit/new gift card only?",doc_51_can_i_return_a_product_if_it_w
I bought this with a gift card — can I return it and what will I be refunded with?,doc_51_can_i_return_a_product_if_it_w
Can I still get a product if my size is currently sold out?,doc_52_can_i_request_a_product_if_it_
What should I do if the item I want isn’t available in my size right now?,doc_52_can_i_request_a_product_if_it_
Do you offer size alerts for products that are out of stock?,doc_52_can_i_request_a_product_if_it_
"If my size is missing, should I wait and check again later?",doc_52_can_i_request_a_product_if_it_
Is there a way to get notified when my size comes back for a product?,doc_52_can_i_request_a_product_if_it_
Can I still buy a product that shows as coming soon if it lets me pre-order?,doc_53_can_i_order_a_product_if_it_is
"If an item is marked coming soon, does pre-order mean I can reserve it now?",doc_53_can_i_order_a_product_if_it_is
How does ordering work for a product that's not out yet but has pre-order available?,doc_53_can_i_order_a_product_if_it_is
Will I be able to place an order before release when a product is listed as coming soon?,doc_53_can_i_order_a_product_if_it_is
Does pre-ordering a coming soon item secure it before it becomes available?,doc_53_can_i_order_a_product_if_it_is
"If I used a discount code on my order, can I still send the item back?",doc_54_can_i_return_a_product_if_it_w
How does the refund work when the product was bought with a promo code?,doc_54_can_i_return_a_product_if_it_w
Can discounted purchases be returned like regular items?,doc_54_can_i_return_a_product_if_it_w
Will I get refunded the full price or only what I actually paid after the discount?,doc_54_can_i_return_a_product_if_it_w
"If I return something I bought with a coupon code, how much money do I get back?",doc_54_can_i_return_a_product_if_it_w
Do you offer custom orders or personalized items at all?,doc_55_can_i_request_a_custom_order_o
Is there any way to get a product customized before I buy it?,doc_55_can_i_request_a_custom_order_o
Can I ask for a personal design or made-to-order version of your products?,doc_55_can_i_request_a_custom_order_o
Do you make special requests or custom pieces for customers?,doc_55_can_i_request_a_custom_order_o
"If I want something personalized, can you help with that?",doc_55_can_i_request_a_custom_order_o
"Can I still buy something that says temporarily unavailable, or is it out of stock for now?",doc_56_can_i_order_a_product_if_it_is
"If an item is marked temporarily unavailable, does that mean it’ll come back later?",doc_56_can_i_order_a_product_if_it_is
"What should I do when a product is unavailable right now — just wait, or can I get notified?",doc_56_can_i_order_a_product_if_it_is
"Is there any way to order a temporarily unavailable product, or do I need to check back later?",doc_56_can_i_order_a_product_if_it_is
"Do temporarily unavailable items get restocked, and can I sign up for alerts?",doc_56_can_i_order_a_product_if_it_is
Can I return something if I damaged it by using it the wrong way?,doc_57_can_i_return_a_product_if_it_w
Does your return policy cover items that got broken after improper use?,doc_57_can_i_return_a_product_if_it_w
"If a product was damaged because I used it incorrectly, can I still send it back?",doc_57_can_i_return_a_product_if_it_w
Are products damaged by misuse eligible for a return or refund?,doc_57_can_i_return_a_product_if_it_w
Who should I contact if my item was damaged from improper use and I want help?,doc_57_can_i_return_a_product_if_it_w
"If something says coming soon but I can’t pre-order it, can I still request it somehow?",doc_58_can_i_request_a_product_if_it_
What do I do when a product is marked coming soon but there’s no pre-order option?,doc_58_can_i_request_a_product_if_it_
Is there any way to buy or reserve an item that’s coming soon if pre-order isn’t available?,doc_58_can_i_request_a_product_if_it_
"For products listed as coming soon without pre-order, do I just have to wait for release?",doc_58_can_i_request_a_product_if_it_
Can I get notified or request a coming soon product before it actually goes on sale?,doc_58_can_i_request_a_product_if_it_
Can I still buy something if it says on hold?,doc_59_can_i_order_a_product_if_it_is
What does it mean when a product is listed as on hold?,doc_59_can_i_order_a_product_if_it_is
Is there any way to order an item that’s currently on hold?,doc_59_can_i_order_a_product_if_it_is
Should I just wait or can I get notified when an on-hold product is back?,doc_59_can_i_order_a_product_if_it_is
Why can’t I add an on-hold product to my cart?,doc_59_can_i_order_a_product_if_it_is
Can I still return something if I lost the receipt?,doc_60_can_i_return_a_product_if_i_no
Do I need the original receipt to make a return?,doc_60_can_i_return_a_product_if_i_no
What happens if I want to return an item but don't have the receipt anymore?,doc_60_can_i_return_a_product_if_i_no
"Is a receipt required for returns, or can customer support help without one?",doc_60_can_i_return_a_product_if_i_no
How do I start a return if I can't find my proof of purchase?,doc_60_can_i_return_a_product_if_i_no
"Can a limited edition item come back after it sells out, or is it gone for good?",doc_61_can_i_request_a_product_that_i
"If a product is marked limited edition and it’s sold out, can I still ask for a restock?",doc_61_can_i_request_a_product_that_i
Do you ever restock limited edition products once they’re gone?,doc_61_can_i_request_a_product_that_i
Should I buy a limited edition item right away because it might not be available again?,doc_61_can_i_request_a_product_that_i
What happens when a limited edition product sells out—can it be reordered later?,doc_61_can_i_request_a_product_that_i
Can I still buy a product if it shows as discontinued on the website?,doc_62_can_i_order_a_product_if_it_is
What does it mean when an item is marked discontinued but still appears online?,doc_62_can_i_order_a_product_if_it_is
"If a discontinued product is still visible, is that a website error or can I order it?",doc_62_can_i_order_a_product_if_it_is
Should I contact support if I see a discontinued item still listed on the site?,doc_62_can_i_order_a_product_if_it_is
Why is a product listed as discontinued but not removed from the website?,doc_62_can_i_order_a_product_if_it_is
Are clearance items eligible for returns or refunds?,doc_63_can_i_return_a_product_if_it_w
"If I bought something on final sale, can I send it back?",doc_63_can_i_return_a_product_if_it_w
Do clearance products count as non-returnable?,doc_63_can_i_return_a_product_if_it_w
Is it possible to get a refund on a final sale item?,doc_63_can_i_return_a_product_if_it_w
How can I check whether a clearance item is returnable before I buy it?,doc_63_can_i_return_a_product_if_it_w
"If something isn't listed on your site, can I still ask for it or order it somehow?",doc_64_can_i_request_a_product_if_it_
What should I do if the product I want doesn't appear on the website?,doc_64_can_i_request_a_product_if_it_
Do you offer any way to get items that aren't shown in your online catalog?,doc_64_can_i_request_a_product_if_it_
Should I contact support if I can't find a product on your website?,doc_64_can_i_request_a_product_if_it_
"If a product isn't available online, is it completely unavailable for purchase?",doc_64_can_i_request_a_product_if_it_
Can I still buy something that says out of stock if backorder is allowed?,doc_65_can_i_order_a_product_if_it_is
"If an item is out of stock but backorderable, can I place the order anyway?",doc_65_can_i_order_a_product_if_it_is
Do you let customers order products that are currently out of stock for backorder?,doc_65_can_i_order_a_product_if_it_is
"When a product is marked out of stock with backorder, can I secure it now and get it later?",doc_65_can_i_order_a_product_if_it_is
Will my order go through for an out-of-stock item if it’s available on backorder?,doc_65_can_i_order_a_product_if_it_is
Can I return something I bought as part of a bundle or set?,doc_66_can_i_return_a_product_if_it_w
"If I purchased an item in a set, is the return policy different?",doc_66_can_i_return_a_product_if_it_w
Are returns allowed for products that came in a bundle?,doc_66_can_i_return_a_product_if_it_w
What happens if I want to return only one item from a set?,doc_66_can_i_return_a_product_if_it_w
Do I need to check special terms before returning a bundled product?,doc_66_can_i_return_a_product_if_it_w
Is it possible to ask for an out-of-stock item to come back in stock?,doc_67_can_i_request_a_product_that_i
How can I get notified when a sold-out product is available again?,doc_67_can_i_request_a_product_that_i
"Do you restock popular products, and can I be alerted when they return?",doc_67_can_i_request_a_product_that_i
What should I do if the item I want is currently out of stock?,doc_67_can_i_request_a_product_that_i
Can I sign up for alerts so I know when a product is restocked?,doc_67_can_i_request_a_product_that_i
Can I still buy something that says coming soon and is open for pre-order?,doc_68_can_i_order_a_product_if_it_is
"If an item is marked coming soon, does that mean I can place a pre-order for it now?",doc_68_can_i_order_a_product_if_it_is
How does ordering work for products that aren't out yet but show pre-order availability?,doc_68_can_i_order_a_product_if_it_is
Is it possible to secure a product before release if the page says coming soon?,doc_68_can_i_order_a_product_if_it_is
